AudienceTargetAgeID|AudienceTargetAgeCD|ActiveFG|FilterTvFG|FilterPayFG|EnglishDescription|FrenchDescription
1|1|1|1|1|CHILDREN - 0 TO 5 YEARS|ENFANTS - 0 A 5 ANS
2|2|1|1|1|CHILDREN - 6 TO 12 YEARS|ENFANTS - 6 A 12 ANS
3|3|1|1|1|CHILDREN - 13 TO 17 YEARS|ADOLESCENTS - 13 A 17 ANS
4|4|1|1|1|ADULTS - 18 YEARS AND OVER|ADULTES - 18 ANS ET PLUS
5|5|0|0|0|INVALID|INVALID
6|6|0|0|0|INVALID|INVALID
7|7|0|0|0|INVALID|INVALID
8|8|0|0|0|INVALID|INVALID
9|9|0|0|0|INVALID|INVALID
10|0|0|0|0|INVALID|INVALID
11|0|0|0|0|INVALID|INVALID
12|0|0|0|0|INVALID|INVALID
342|0|0|0|0|INVALID|INVALID
