CategoryID|CategoryCD|ActiveFG|FilterTvFG|FilterPayFG|EnglishDescription| FrenchDescription
1|010|1|1|1|NEWS|NOUVELLES
2|02 |0|||CANREC  ANALYSIS (old)|CANREC  ANALYSIS (old)
3|02A|1|1|1|ANALYSIS AND INTERPRETATION|ANALYSES ET INTERPRêTATIONS
4|02B|1|1|1|LONG-FORM DOCUMENTARY|DOCUMENTAIRES DE LONGUE DURêê
5|030|1|1|1|REPORTING & ACTUALITIES|REPORTAGES ET ACTUALITêS
6|040|1|1|1|RELIGION|RELIGION
7|05A|1|1|1|EDUCATION FORMAL|êDUCATION FORMELLE
8|05B|1|1|1|EDUCATION INFORMAL|êDUCATION INFORMELLE
9|06A|1|1|1|SPORTS - PROFESSIONAL SPORTS|SPORTS PROF
10|06B|1|1|1|SPORTS - AMATEUR SPORTS | SPORTS - 
11|07A|1|1|1|ONGOING DRAMATIC SERIES|SêRIES DRAMATIQUES EN COURS
12|07B|1|1|1|ONGOING COMEDY SERIES|SêRIES COMIQUES EN COURS
13|07C|1|1|1|SPECIALS,MINI-SERIES & MADE-FOR-TV FEATURE FILMS|EM. SPêCIALES, MINI-SêRIES & LONG MêTRAGES POUR TV
14|07D|1|1|1|DRAMA- FEATURE FILMS|DRAMATIQUE -
15|07E|1|1|1|DRAMA- ANIMATED|DRAMATIQUES- ANIMATION
16|07F|1|1|1|PROGRAMS OF COMEDY SKETCHES|êMISSIONS DE SKETCHES COMIQUES
17|07G|1|1|1|OTHER|AUTRE
18|08A|1|1|1|MUSIC - DANCE|MUSIQUE ET DANCE
19|08B|1|1|1|MUSIC - DANCE - MUSIC VIDEO CLIP|MUSIC- VIDEO CLIP
20|08C|1|1|1|MUSIC VIDEO PROGRAMS|MUSIC VIDEO PROGRAMS
21|090|1|1|1|VARIETY|VARIêTES 
22|100|1|1|1|GAME & SHOWS|JEUX
23|110|1|1|1|HUMAN INTEREST|INTêRET GêNêRAL
24|11A|1|1|1|GENERAL ENTERTAINMENT AND HUMAN INTEREST|DIVERTISSEMENT ET INTêRET GêNêRAL
25|11B|1|1|1|REALITY TELEVISION|TêLê-RêALITê
26|120|1|1|1|INTERSTITIALS|INTERSTITIALS
27|130|1|1|1|PUBLIC SERVICE ANNOUCEMENTS|PUBLIC SERVICE ANNOUCEMENTS
28|140|1|1|0|INFORMERCIALS, PROMOTIONAL & CORPORATE VIDEO|INFOPUBLICITêS, VIDêOS/FILMS PROMOTION
29|150|1|0|1|OTHER - FILLER PROGRAMMING|OTHER - FILLER PROGRAMMING 
30|NIL|1|1|1|NIL|NIL
31|020|1|1|1|020|020
