ProductionSourceID|ProdSourceCD|ActiveFG|FilterTvFG|FilterPayFG|EnglishDescription|FrenchDescription
1|1|1|0|1|IN-HOUSE (LICENSEE)|INTERNE (TITULAIRE)
2|1|1|1|0|LOCAL STATION|STATION LOCALE
3|2|1|0|1|AFFILIATED PRODUCTION COMPANY|SOCIêTê DE PRODUCTION AFFILIêE
4|2|1|1|0|LOCAL PROGRAM PRODUCED BY AFFILIATED PRODUCTION CO|êMISSION LOCALE RêALISêE PAR MAISON PRODUCTN AFFIL
5|3|1|1|0|OTHER CDN PROGRAM PROD. BY AFFILIATED PROD. CO.|AUTRE êMISSION CDN RêALISêE PAR MAISON PROD. AFFIL
6|3|1|0|1|TV STATION|STATION DE TêLêVISION
7|4|1|1|0|OTHER STATION|AUTRE STATION
8|4|1|0|0|OVER-THE AIR TELEVISION NETWORK|RêSEAU DE TêLêVISION PAR LA VOIE DES ONDES
9|4|1|0|1|OVER-THE-AIR TELEVISION NETWORK|RêSEAU DE TêLêVISION PAR LA VOIE DES ONDES
10|5|1|0|1|CANADIAN INDEPENDENT PRODUCER|PRODUCTEUR INDêPENDANT CANADIEN
11|5|1|1|0|NETWORK|RêSEAU
12|6|1|1|0|CANADIAN INDEPENDENT PRODUCER|ENTREPRISE INDêPENDANTE CANADIENNE
13|6|1|0|1|CO-VENTURE|ENTREPRISE CONJOINTE
14|7|1|0|1|CDN PROGRAMS FROM GOVERNMENT OR NFB| êMISSION CANADIENNE DU GOUVERNEMENT ET L'ONF
15|7|1|1|0|SPECIAL RECOGNITION|ACCRêDITATION SPêCIALE
16|8|1|0|0|ANY OTHER SOURCE OF A NON-CANADIAN PROGRAM|AUTRE SOURCE, êMISSION NON CANADIENNE
17|8|1|0|1|ANY OTHER SOURCE, NON-CANADIAN PROGRAM|AUTRE SOURCE, êMISSION NON CANADIENNE
18|8|1|1|0|CDN PROGRAMS FROM GOVERNMENT OR NFB| êMISSION CANADIENNE DU GOUVERNEMENT ET L'ONF
19|9|1|1|0|NON-CANADIAN PROGRAM FROM ANY SOURCE|êMISSION NON CANADIENNE DE TOUTE SOURCE
